page_title	rev_id	creation_timestamp	archived	draft_quality
Government_Achuthan_girls_hss	688249460	20151030165831	1	spam
Spiromax_EDMS	731688963	20160726220726	1	spam
Steph_Curry_UA_2	693824273	20151205035603	1	spam
Valletta_Cruise_Port	722151405	20160526085302	1	spam
RWG_Mobile	731355950	20160724204124	1	spam
LimagitoX	722493632	20160528140929	1	spam
The_Heroestoo_Foundation	680236338	20150909154759	1	spam
Deed_Rocklin	723735786	20160604221951	1	spam
Suresh_kumar_mishra_uratrupt	686981938	20151022161104	1	spam
Kamrul_hasan_kofil	722184876	20160526134729	1	spam
Localizer.co	685942287	20151015235253	1	spam
Ginger_Rose	711622956	20160323225857	1	spam
永強眼鏡製造有限公司	700361020	20160118013456	1	spam
Trailer_park_boys_mobile_game	704313427	20160210212243	1	spam
Tana_mongeau	730580896	20160719230350	1	spam
Temploy	715983670	20160419040515	1	spam
Excedia	677052161	20150820203451	1	spam
Baseline_(site)	693817985	20151205024427	1	spam
Emerald_Research.ir	729161451	20160710101506	1	spam
Prawns_&_Fishes	683926682	20151003124459	1	spam
RICHES_Mosaic_Interface	703493984	20160205213037	1	spam
Middle_East_Bank_(Iran)	714668716	20160411041320	1	spam
Behzad_masoumi	678156513	20150827182358	1	spam
Help_desk_for_mail@1855649-4951	702393466	20160130082215	1	spam
Xara_Skin_Clinic_Sydney	727894555	20160701224208	1	spam
Corin_scott	700296852	20160117173636	1	attack
Joe_Bains	720470938	20160516022954	1	attack
Sean_Tynan	707768464	20160301180250	1	attack
Jesse_Ridgway	696968930	20151227073708	1	attack
Jacob_sartorious	722367357	20160527170010	1	attack
Rylie_Orlowski	719475010	20160509223557	1	attack
Suzy_Hanson	699109402	20160110083921	1	attack
Fishlore.com	731823070	20160727190252	1	attack
Motta_kedia1309	727978165	20160702093958	1	attack
Xitlaly_Ramos	726725914	20160623235121	1	attack
Abdul_Acceus	693496755	20151202231239	1	attack
Euan_Bruce	713753884	20160405181459	1	attack
Tay_and_the_Gang	709914567	20160313214058	1	attack
Maxwell_James_Goss	684676034	20151008021945	1	attack
FUCK_CALLANECC	706130788	20160221171430	1	attack
Vivian_the_FATASS	679195336	20150903013050	1	attack
Ross_O'Brien	702020053	20160127231606	1	attack
Alex_etzel	702280371	20160129161718	1	attack
The_life_of_Coach_Wacker	720979384	20160519020500	1	attack
Gabe_Almeida	689348959	20151106152825	1	attack
Whitneywisconsin	712960479	20160401020737	1	attack
Styles_moody	677848004	20150825221502	1	attack
Tyrone_Patrick_Trapani	728580240	20160706073102	1	attack
Daddy_Jarvis	724400696	20160609011114	1	attack
Jervie_Calibo	695156397	20151214035207	1	attack
ظajotz	691729143	20151121204518	1	vandalism
Chief_Fresha_Lutenoff_of_Sweden	725263013	20160614154003	1	vandalism
Sam_Schafft	714774871	20160411194506	1	vandalism
People_with_Asperger's_syndrome_forced_to_strip_naked_and_fight_to_the_death	729949782	20160715181436	1	vandalism
Christopher_Franz_Schultchen,_11	685816953	20151015042437	1	vandalism
Britian_and_New_Zealand_sunshine	681772822	20150919121519	1	vandalism
The_Leafy_Greens_Movement	722586469	20160529030839	1	vandalism
Ethan_Benchimol	677484831	20150823161356	1	vandalism
The_Things_You_Have_Constantly_Thought_about_About_Football	685353642	20151012105331	1	vandalism
Andrew_sauk	707384822	20160228153109	1	vandalism
Asteroid_Masters_I_(film)	678385417	20150829015611	1	vandalism
Krider	712621455	20160330050051	1	vandalism
9_island_country_Irny	704699177	20160213012310	1	vandalism
Bhavik_bharambhe	711159988	20160321060400	1	vandalism
Qatar_Scum	689166666	20151105101510	1	vandalism
Damon_Coleman	710393853	20160316183205	1	vandalism
Canis_careyus	717440763	20160427183549	1	vandalism
Selimentosanda	712826344	20160331092930	1	vandalism
Charlie_is_jesus	708831586	20160307210843	1	vandalism
Spoon_of_Gimub	686372972	20151018193059	1	vandalism
Nineball_island	696823328	20151226044152	1	vandalism
Harrison_nuti	711724215	20160324130838	1	vandalism
Nicosian	723060925	20160531191436	1	vandalism
British_Rail_Class_382	684594549	20151007163357	1	vandalism
Foniasaurus	691975857	20151123102231	1	vandalism
